skill_id,domain,layer,category_id,category_name,confidence,source_path,line_start,rule_id,matched_text,declaration_atomic_ids,implementation_atomic_ids
ably-automation,Dom-16,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,77,decl.atomic_capability.x7,"- **Session reuse**: Reuse session IDs within a workflow. Generate new ones for new workflows
- **Pagination**: Check responses for pagination tokens and continue fetching until complete","I4,O3,Q1,R1,R7,X7",
access,Dom-14,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,85,decl.atomic_capability.o4,"### `channel remove <channel_id>`
1. Delete `channels[channel_id]`
2. Save with 0o600","A4,O4,Q1,R8",
accessibility,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,references/A11Y-PATTERNS.md,209,decl.atomic_capability.x3,"function showNotification(message, type = 'polite') {
  const container = document.getElementById(`${type}-announcer`);
  container.textContent = '';","A4,G1,I3,Q1,Q2,Q3,R1,R7,X3,X4,X8","A2,A4,G1,Q4,X3"
accessibility-auditor,,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,249,decl.atomic_capability.o4,"<h2 id=""modal-title"">Confirm Action</h2>
  <p id=""modal-desc"">Are you sure you want to delete this item?</p>","A4,O4,Q1,Q2,Q3,Q4,R1",
add-image-vision,Dom-8,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,45,decl.atomic_capability.x3,"- Image attachment handling in `src/channels/whatsapp.ts`
- Image passing to agent in `src/index.ts` and `src/container-runner.ts`
- Image content block support in `container/agent-runner/src/index.ts`","Q2,R4,R8,X3,X4,X8",
add-macos-statusbar,Dom-15,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,8,decl.atomic_capability.x3,"Adds a persistent menu bar icon that shows NanoClaw's running status and lets the user
start, stop, or restart the service — similar to how Docker Desktop appears in the menu bar.","Q1,Q2,X3,X8",
add-parallel,Dom-1,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,288,decl.atomic_capability.x1,"3. Remove Web Research Tools section from groups/main/CLAUDE.md
4. Rebuild: `./container/build.sh && npm run build`
5. Restart: `launchctl kickstart -k gui/$(id -u)/com.nanoclaw` (macOS) or `systemctl --user restart nanoclaw` (Linux)","A3,G1,I3,I4,Q1,Q2,Q4,R1,X1,X3,X7,X8",
add-pdf-reader,Dom-5,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,95,decl.atomic_capability.x1,Container needs rebuilding. Run `./container/build.sh` and restart the service.,"Q2,R4,R8,X1,X3,X8",
add-reactions,Dom-10,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,7,decl.atomic_capability.x3,"This skill adds emoji reaction support to NanoClaw's WhatsApp channel: receive and store reactions, send reactions from the container agent via MCP tool, and query reaction history from SQLite.","A7,Q1,Q2,R8,X3,X8",
adrapid-automation,Dom-16,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,77,decl.atomic_capability.x7,"- **Session reuse**: Reuse session IDs within a workflow. Generate new ones for new workflows
- **Pagination**: Check responses for pagination tokens and continue fetching until complete","I4,O3,Q1,R1,R7,X7",
aeon,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,references/datasets_benchmarking.md,27,decl.atomic_capability.o3,"# Bulk download
from aeon.datasets import download_all_regression","A3,A4,G1,I3,O3,O4,Q1,Q2,Q4,R1,R7,R8,R9,X4","G1,G5,O4,Q4,W3,X7"
agent-browser,Dom-11,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,61,decl.atomic_capability.o4,State files contain session tokens in plaintext -- add to `.gitignore` and delete when no longer needed. Set `AGENT_BROWSER_ENCRYPTION_KEY` for encryption at rest.,"C5,G1,I3,O4,Q1,Q2,Q3,R1,R7,R8,U1,U3,U4,X1,X3,X4,X7,X8",
agent-designer,Dom-16,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,163,decl.atomic_capability.x7,"#### Cost Analysis
- **Token Usage:** Input/output token consumption per task
- **API Costs:** External service usage and charges","A4,A5,A7,G1,I3,O3,Q2,Q4,R1,R7,X7","A4,A5,A7,G1,G5,I4,Q1,Q2,Q3,Q4,R1,R10,R5,U2,W2,W3,X1,X6,X7"
agentation-self-driving,Dom-11,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,allowed-tools: Bash(agent-browser:*),"A5,A7,Q1,Q2,R7,R8,X1,X3,X4,X7","A4,G1"
ai-seo,,declaration,tier_4,Tier 4: 代理协同层,high,references/ai-search-landscape.md,97,decl.atomic_capability.a4,"2. Use numbered lists, definition blocks, and tables extensively
3. Keep content current — update pages when information changes
4. For competitive topics, publish comprehensive pieces that cover the query more completely than alternatives","A4,A5,G1,I3,Q1,Q3,Q4,R7,R8,U3","G1,Q3,Q4,R8,S7,X7"
algolia-performance-tuning,Dom-13,declaration,tier_1,Tier 1: 资源感知层,high,SKILL.md,1,decl.atomic_capability.q1,"description: |
  Optimize Algolia search performance: record size, searchable attributes,
  replica strategy, response caching, and query-time parameter tuning.","O3,Q1",
analyzer,Dom-7,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.g1,"description: ""Use when synthesizing perf findings into evidence-backed recommendations and decisions.""","G1,R7",
analyzing-text-sentiment,Dom-7,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,22,decl.atomic_capability.k5,"1. **Text Input**: The skill receives text data as input from the user.
2. **Sentiment Analysis**: The skill processes the text using a pre-trained sentiment analysis model to determine the sentiment polarity (positive, negative, or neutral).
3. **Result Output**: The skill provides a sentiment score and classification, indicating the overall sentiment expressed in the text.","G1,K5,Q4,R1,X1","G1,G4,Q4,R10,R9,X1,X6"
anima-deploy-integration,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: Read, Write, Edit, Bash(vercel:*), Bash(gcloud:*), Bash(docker:*)","A4,I4,R7,R8,X1,X3,X7,X8",
anomaly-detection-system,Dom-7,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.g1,"description: |
  This skill empowers Claude to identify anomalies and outliers within datasets. It leverages the anomaly-detection-system plugin to analyze data, apply appropriate machine learning algorithms, and highlight unusual data points. Use this skill when the user requests anomaly detection, outlier analysis, or identification of unusual patterns in data. Trigger this skill when the user m",G1,
apify-generate-output-schema,Dom-13,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,346,decl.atomic_capability.x3,"- `{{links.apiRunUrl}}` — API run URL
- `{{links.containerRunUrl}}` — URL of webserver running inside the run
- `{{run.defaultDatasetId}}` — ID of the default dataset","G1,G2,G5,Q1,Q2,R1,R7,U1,X3",
apple-notes-install-auth,Dom-15,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,120,decl.atomic_capability.o4,"| `Notes got an error: AppleEvent timed out` | Notes.app not running | Launch Notes first or add `activate` |
| `-1743 errAEAppNotAllowed` | Denied by TCC | Reset TCC: `tccutil reset AppleEvents` |
| `execution error: Notes is not running` | Notes.app closed | Add `tell app ""Notes"" to activate` |","O4,Q1,R1,R7,W2,X1,X8",
applying-brand-guidelines,Dom-12,declaration,tier_3,Tier 3: 环境管控层,high,apply_brand.py,316,decl.atomic_capability.g2,"Args:
            document_type: Type of document (draft, confidential, etc.)","G2,Q1,Q3,Q4,R7,R9","G1,G2,Q2,Q3,R10,R5,R8"
approval-workflow-generator,Dom-16,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: ""Read, Write, Edit, Bash(cmd:*)""","G1,Q3,X1",
arize-trace,Dom-4,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,74,decl.atomic_capability.o3,"| `--stdout` | false | Print JSON to stdout instead of file |
| `--all` | false | Unlimited bulk export via Arrow Flight (see below) |","A4,A7,G1,G3,I4,O3,Q1,Q2,Q3,R1,R7,R9,W2,X7,X8","A2,A7,I4,Q4,R6,X2,X4,X7,X8"
assemblyai-core-workflow-a,Dom-8,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,187,decl.atomic_capability.o4,"// Delete a transcript (GDPR compliance)
await client.transcripts.delete('transcript-id');","G1,I4,O4,Q1,Q3,Q4,R7,X1",
assemblyai-core-workflow-b,Dom-8,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"allowed-tools: Read, Write, Edit, Bash(npm:*), Grep","C5,G1,I4,Q1,R1,R7,S2,X1,X4,X7",
astropy,Dom-13,declaration,tier_3,Tier 3: 环境管控层,high,references/fits.md,115,decl.atomic_capability.o4,"# Delete keyword
del header['OLDKEY']","A3,G1,O4,Q1,Q2,R7,R8,S4,W3,X3,X4","C1,C2,K4,Q2,Q4,R10,R5,S4,W3,X1,X3"
attio-webhooks-events,Dom-16,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,102,decl.atomic_capability.o4,"const entries = Array.from(processed);
    entries.slice(0, entries.length - 10_000).forEach((id) => processed.delete(id));
  }","A4,A7,O4,Q1,Q3,R7,R8,X1,X8",
auditing-wallet-security,Dom-7,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,3,decl.atomic_capability.o4,"Use when checking wallet security, reviewing approvals, or assessing risk exposure.
  Trigger with phrases like ""audit wallet"", ""check approvals"", ""security scan"", or ""revoke tokens"".","A7,G1,O4,Q1,Q4,R7,X1,X5,X7","A2,A7,G1,G5,I4,O4,Q2,Q4,R1,R10,R5,U2,W1,X1,X4,X5,X6,X7,X8"
aws-sdk-java-v2-messaging,Dom-10,declaration,tier_3,Tier 3: 环境管控层,high,references/aws-official-documentation.md,46,decl.atomic_capability.c2,"### Advanced Features
- **Platform Endpoints** - Mobile push notifications
- **SMS Publishing** - Send SMS messages","A3,A5,A7,C2,G1,K4,O3,O4,Q1,Q3,R1,R7,R8,X1,X3,X7","A4,A5,A7,G1,G5,I4,O4,U2,X1,X3,X7"
azure-resource-visualizer,Dom-7,declaration,tier_3,Tier 3: 环境管控层,medium,SKILL.md,92,decl.atomic_capability.x7,"APP -->|""Uses identity""| MI
    MI -->|""Access secrets""| KV
    VNET --> SUBNET1","G1,O4,Q1,Q2,Q4,R7,X7,X8","G1,I6"
background-removal,Dom-12,declaration,tier_3,Tier 3: 环境管控层,high,SKILL.md,1,decl.atomic_capability.x1,"description: ""Remove backgrounds from images with BiRefNet via inference.sh CLI. Model: BiRefNet (high accuracy background removal). Use for: product photos, portraits, e-commerce, transparent PNGs, photo editing. Triggers: remove background, background removal, remove bg, transparent background, cut out image, background remover, rembg, product photo editing, cutout, transparent png, bg removal, ","Q1,R1,R7,R8,X1,X8",
